sra_sname	treatment	sex	age	rank	DSI_F	Flow_PC1	Flow_PC2	Flow_PC3	year
AMB_26B_NULL	NULL	M	15.5893223819302	14	NA	0.288441379293143	1.74111950613659	-0.220353374725122	2017
AMB_26B_LPS	LPS	M	15.5893223819302	14	NA	0.288441379293143	1.74111950613659	-0.220353374725122	2017
AMB_67_NULL	NULL	M	8.70636550308008	6	NA	1.61063794918326	-3.31913579164248	1.23365739670779	2017
AMB_67_LPS	LPS	M	8.70636550308008	6	NA	1.61063794918326	-3.31913579164248	1.23365739670779	2017
AMB_77_NULL	NULL	M	6.59000684462697	14	NA	0.713314500487188	0.879093038421384	-0.148883580357273	2017
AMB_77_LPS	LPS	M	6.59000684462697	14	NA	0.713314500487188	0.879093038421384	-0.148883580357273	2017
AMB_81_NULL	NULL	M	13.4017796030116	4	NA	-0.653003806939067	-0.686220536001754	0.306007561667782	2017
AMB_81_LPS	LPS	M	13.4017796030116	4	NA	-0.653003806939067	-0.686220536001754	0.306007561667782	2017
AMB_66_NULL	NULL	M	10.5735797399042	3	NA	-0.73142210977496	-0.0179599033797072	0.241344731060095	2017
AMB_66_LPS	LPS	M	10.5735797399042	3	NA	-0.73142210977496	-0.0179599033797072	0.241344731060095	2017
AMB_37B_NULL	NULL	M	11.2470910335387	7	NA	1.34059939572179	1.22695435103403	-0.154391179008149	2017
AMB_37B_LPS	LPS	M	11.2470910335387	7	NA	1.34059939572179	1.22695435103403	-0.154391179008149	2017
AMB_95_NULL	NULL	F	18.2340862422998	5	1.12376038268716	1.75356881438515	0.024701855846688	-0.291468962896813	2017
AMB_95_LPS	LPS	F	18.2340862422998	5	1.12376038268716	1.75356881438515	0.024701855846688	-0.291468962896813	2017
AMB_83_NULL	NULL	F	17.6235455167693	11	1.1217641139965	0.213146197137002	0.378362157533239	0.231956046832415	2017
AMB_83_LPS	LPS	F	17.6235455167693	11	1.1217641139965	0.213146197137002	0.378362157533239	0.231956046832415	2017
AMB_98_NULL	NULL	M	6.24503764544832	9	NA	-1.00325372263204	0.175303154148155	-0.785623684446534	2017
AMB_98_LPS	LPS	M	6.24503764544832	9	NA	-1.00325372263204	0.175303154148155	-0.785623684446534	2017
AMB_79_NULL	NULL	F	5.00205338809035	16	2.61839751418581	-1.31998669291928	-1.77456607883935	0.828827324452223	2017
AMB_79_LPS	LPS	F	5.00205338809035	16	2.61839751418581	-1.31998669291928	-1.77456607883935	0.828827324452223	2017
AMB_94_NULL	NULL	F	6.10814510609172	19	1.34689515801875	0.244714312277753	0.749913177929975	-0.341347717177716	2017
AMB_94_LPS	LPS	F	6.10814510609172	19	1.34689515801875	0.244714312277753	0.749913177929975	-0.341347717177716	2017
AMB_93_NULL	NULL	F	5.37987679671458	17	1.07102050657847	1.17192239934662	-1.15378918771735	-2.10758918846441	2017
AMB_93_LPS	LPS	F	5.37987679671458	17	1.07102050657847	1.17192239934662	-1.15378918771735	-2.10758918846441	2017
AMB_84_NULL	NULL	M	6.8145106091718	16	NA	-1.17402591152385	1.34595613721387	0.274089640865965	2017
AMB_84_LPS	LPS	M	6.8145106091718	16	NA	-1.17402591152385	1.34595613721387	0.274089640865965	2017
AMB_75_NULL	NULL	M	8.97741273100616	3	NA	0.269055578725406	-2.57328718462801	-3.08265539069019	2017
AMB_75_LPS	LPS	M	8.97741273100616	3	NA	0.269055578725406	-2.57328718462801	-3.08265539069019	2017
AMB_73_NULL	NULL	F	6.01505817932923	5	1.5440649922147	0.349626341857815	-1.76155192462524	-3.12290355202578	2017
AMB_73_LPS	LPS	F	6.01505817932923	5	1.5440649922147	0.349626341857815	-1.76155192462524	-3.12290355202578	2017
AMB_89_NULL	NULL	M	8.65708418891171	4	NA	-1.71503886789698	0.581699020583682	-0.461425693898269	2017
AMB_89_LPS	LPS	M	8.65708418891171	4	NA	-1.71503886789698	0.581699020583682	-0.461425693898269	2017
AMB_85_NULL	NULL	M	5.87816563997262	9	NA	-3.26782859910464	1.09691898548172	0.342553742281296	2017
AMB_85_LPS	LPS	M	5.87816563997262	9	NA	-3.26782859910464	1.09691898548172	0.342553742281296	2017
AMB_72_NULL	NULL	F	5.87268993839836	13	0.50219700155992	-0.680483282243411	0.0654028079320398	-0.536482531829388	2017
AMB_72_LPS	LPS	F	5.87268993839836	13	0.50219700155992	-0.680483282243411	0.0654028079320398	-0.536482531829388	2017
AMB_86_NULL	NULL	F	4.43805612594114	2	1.74768210591781	0.00943040868506593	1.32413115042532	-0.44748716765644	2017
AMB_86_LPS	LPS	F	4.43805612594114	2	1.74768210591781	0.00943040868506593	1.32413115042532	-0.44748716765644	2017
AMB_63_NULL	NULL	M	9.05681040383299	1	NA	2.27066841478491	1.68566964635502	-0.0501099278061857	2018
AMB_82_NULL	NULL	F	5.68925393566051	14	1.50976198565226	-0.209128697426196	0.615351192683058	-0.756360866107436	2018
AMB_64_NULL	NULL	M	10.631074606434	2	NA	1.81927703921434	1.71073800911809	0.287021943903068	2018
AMB_63_LPS	LPS	M	9.05681040383299	1	NA	2.27066841478491	1.68566964635502	-0.0501099278061857	2018
AMB_64_LPS	LPS	M	10.631074606434	2	NA	1.81927703921434	1.71073800911809	0.287021943903068	2018
AMB_65_NULL	NULL	M	9.2539356605065	1	NA	0.803168555790515	0.661366023995148	0.466507842317027	2018
AMB_65_LPS	LPS	M	9.2539356605065	1	NA	0.803168555790515	0.661366023995148	0.466507842317027	2018
AMB_76_NULL	NULL	F	6.3025325119781	22	1.03079651560937	0.705444650156328	1.10179735886227	0.696150089339658	2018
AMB_71_NULL	NULL	F	15.1540041067762	7	0.983940167734915	1.09650948068332	0.250402749414096	-0.281335447389686	2018
AMB_71_LPS	LPS	F	15.1540041067762	7	0.983940167734915	1.09650948068332	0.250402749414096	-0.281335447389686	2018
